Test #1 (Nodes: 10000, Elements: 10000): Tree Creation - 1096416 ns, DFS - 10375 ns, BFS - 80833 ns, List Creation - 293542 ns
Test #2 (Nodes: 10000, Elements: 10000): Tree Creation - 1113125 ns, DFS - 8958 ns, BFS - 82333 ns, List Creation - 295042 ns
Test #3 (Nodes: 10000, Elements: 10000): Tree Creation - 1133083 ns, DFS - 8625 ns, BFS - 81375 ns, List Creation - 291125 ns
Test #4 (Nodes: 10000, Elements: 10000): Tree Creation - 1181375 ns, DFS - 8375 ns, BFS - 81208 ns, List Creation - 309417 ns
Test #5 (Nodes: 10000, Elements: 10000): Tree Creation - 1141583 ns, DFS - 7958 ns, BFS - 81375 ns, List Creation - 287541 ns
Test #6 (Nodes: 10000, Elements: 10000): Tree Creation - 1132958 ns, DFS - 8125 ns, BFS - 81417 ns, List Creation - 290750 ns
Test #7 (Nodes: 10000, Elements: 10000): Tree Creation - 1153625 ns, DFS - 7834 ns, BFS - 81625 ns, List Creation - 290625 ns
Test #8 (Nodes: 10000, Elements: 10000): Tree Creation - 1131458 ns, DFS - 8000 ns, BFS - 81375 ns, List Creation - 303667 ns
Test #9 (Nodes: 10000, Elements: 10000): Tree Creation - 1080208 ns, DFS - 8125 ns, BFS - 81042 ns, List Creation - 290583 ns
Test #10 (Nodes: 10000, Elements: 10000): Tree Creation - 1078333 ns, DFS - 8041 ns, BFS - 81042 ns, List Creation - 305459 ns
Test #11 (Nodes: 10000, Elements: 10000): Tree Creation - 1068625 ns, DFS - 8459 ns, BFS - 81209 ns, List Creation - 303750 ns
Test #12 (Nodes: 10000, Elements: 10000): Tree Creation - 1142208 ns, DFS - 8375 ns, BFS - 81250 ns, List Creation - 342625 ns
Test #13 (Nodes: 10000, Elements: 10000): Tree Creation - 1177583 ns, DFS - 8166 ns, BFS - 81167 ns, List Creation - 290416 ns
Test #14 (Nodes: 10000, Elements: 10000): Tree Creation - 1091208 ns, DFS - 8084 ns, BFS - 81292 ns, List Creation - 530583 ns
Test #15 (Nodes: 10000, Elements: 10000): Tree Creation - 1055750 ns, DFS - 8333 ns, BFS - 81333 ns, List Creation - 290750 ns
Test #16 (Nodes: 10000, Elements: 10000): Tree Creation - 1070666 ns, DFS - 7875 ns, BFS - 81125 ns, List Creation - 305458 ns
Test #17 (Nodes: 10000, Elements: 10000): Tree Creation - 1097250 ns, DFS - 8125 ns, BFS - 81250 ns, List Creation - 296125 ns
Test #18 (Nodes: 10000, Elements: 10000): Tree Creation - 1122583 ns, DFS - 8042 ns, BFS - 81167 ns, List Creation - 285375 ns
Test #19 (Nodes: 10000, Elements: 10000): Tree Creation - 1187625 ns, DFS - 8417 ns, BFS - 81291 ns, List Creation - 288583 ns
Test #20 (Nodes: 10000, Elements: 10000): Tree Creation - 1088916 ns, DFS - 8458 ns, BFS - 81458 ns, List Creation - 287250 ns
Test #21 (Nodes: 10000, Elements: 10000): Tree Creation - 1083875 ns, DFS - 8208 ns, BFS - 81167 ns, List Creation - 289667 ns
Test #22 (Nodes: 10000, Elements: 10000): Tree Creation - 1082333 ns, DFS - 8334 ns, BFS - 81417 ns, List Creation - 288667 ns
Test #23 (Nodes: 10000, Elements: 10000): Tree Creation - 1061166 ns, DFS - 8333 ns, BFS - 81333 ns, List Creation - 289708 ns
Test #24 (Nodes: 10000, Elements: 10000): Tree Creation - 1041292 ns, DFS - 8750 ns, BFS - 81333 ns, List Creation - 294458 ns
Test #25 (Nodes: 10000, Elements: 10000): Tree Creation - 1045000 ns, DFS - 8458 ns, BFS - 84916 ns, List Creation - 291291 ns
Test #26 (Nodes: 10000, Elements: 10000): Tree Creation - 1068500 ns, DFS - 8500 ns, BFS - 81416 ns, List Creation - 288333 ns
Test #27 (Nodes: 10000, Elements: 10000): Tree Creation - 1117917 ns, DFS - 8667 ns, BFS - 81167 ns, List Creation - 325167 ns
Test #28 (Nodes: 10000, Elements: 10000): Tree Creation - 1206542 ns, DFS - 8291 ns, BFS - 81333 ns, List Creation - 301250 ns
Test #29 (Nodes: 10000, Elements: 10000): Tree Creation - 1060000 ns, DFS - 8375 ns, BFS - 81250 ns, List Creation - 299792 ns
Test #30 (Nodes: 10000, Elements: 10000): Tree Creation - 1062666 ns, DFS - 8250 ns, BFS - 81250 ns, List Creation - 315708 ns
Test #31 (Nodes: 10000, Elements: 10000): Tree Creation - 1066083 ns, DFS - 8583 ns, BFS - 81291 ns, List Creation - 315834 ns
Test #32 (Nodes: 10000, Elements: 10000): Tree Creation - 1063792 ns, DFS - 8417 ns, BFS - 81292 ns, List Creation - 289500 ns
